c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
56,DOM,Dominican Republic,11331,0.0014008,98.9,0.5,27.7,56, Dominican Republic,0.259,0.671,0.07,North America
57,ECU,Ecuador,17980,0.0022228,99.4,0.5,28.4,57, Ecuador,0.245,0.664,0.091,South America
58,EGY,Egypt,114536,0.0141596,102,0.5,24,58, Egypt,0.344,0.603,0.054,Africa
59,SLV,El Salvador,6310,0.00078,90.5,0.48,27,59, El Salvador,0.254,0.664,0.082,North America
60,GNQ,Equatorial Guinea,1848,0.0002284,111.7,0.53,21,60, Equatorial Guinea,0.361,0.59,0.049,Africa
61,ERI,Eritrea,3470,0.000429,97.4,0.49,18.7,61, Eritrea,0.363,0.597,0.04,Africa
62,EST,Estonia,1367,0.000169,90.5,0.47,41.9,62, Estonia,0.156,0.623,0.222,Europe
63,SWZ,Eswatini,1231,0.0001521,96.4,0.49,22,63, Eswatini (Swaziland),0.322,0.639,0.04,Africa
64,ETH,Ethiopia,128692,0.0159097,100.4,0.5,18.7,64, Ethiopia,0.389,0.576,0.035,Africa
65,FRO,Faroe Islands,55,0.0000068,107.1,0.52,37.3,65, Faroe Islands,0.199,0.619,0.182,Europe
66,FJI,Fiji,924,0.0001142,98.5,0.5,27.7,66, Fiji,0.252,0.663,0.085,Oceania
67,FIN,Finland,5601,0.0006925,97.7,0.49,42.8,67, Finland,0.163,0.605,0.233,Europe
68,FRA,France,66439,0.0082136,94.1,0.48,41.8,68, France,0.18,0.605,0.214,Europe
69,PYF,French Polynesia,281,0.0000348,102.4,0.51,34.8,69, French Polynesia,0.206,0.688,0.106,Oceania
70,GAB,Gabon,2485,0.0003072,103.2,0.51,21.5,70, Gabon,0.35,0.608,0.042,Africa
71,GMB,Gambia,2698,0.0003335,99.2,0.5,18.2,71, Gambia,0.389,0.576,0.036,Africa
72,GEO,Georgia,3807,0.0004707,87.3,0.47,36.8,72, Georgia,0.184,0.637,0.18,Asia
73,DEU,Germany,84548,0.0104524,97.5,0.49,45.1,73, Germany,0.138,0.63,0.233,Europe
74,GHA,Ghana,33788,0.0041771,99.8,0.5,20.9,74, Ghana,0.377,0.579,0.044,Africa
75,GIB,Gibraltar,38,0.0000048,99.1,0.5,38.9,75, Gibraltar,0.2,0.626,0.174,Europe
76,GRC,Greece,10243,0.0012663,93.9,0.48,45.7,76, Greece,0.14,0.627,0.233,Europe
77,GRL,Greenland,56,0.0000069,111.2,0.53,34.2,77, Greenland,0.205,0.677,0.119,North America
78,GRD,Grenada,117,0.0000145,100.7,0.5,33.4,78, Grenada,0.222,0.655,0.123,North America
79,GUM,Guam,167,0.0000206,102.8,0.51,31.1,79, Guam (US),0.266,0.629,0.105,Oceania
80,GTM,Guatemala,18125,0.0022407,98.4,0.5,22.6,80, Guatemala,0.32,0.628,0.052,North America
81,GGY,Guernsey,64,0.0000079,97.8,0.49,44,81, Guernsey,0.144,0.645,0.211,Europe
82,GIN,Guinea,14405,0.0017809,97.8,0.49,18,82, Guinea,0.41,0.551,0.04,Africa
83,GNB,Guinea-Bissau,2153,0.0002662,97.6,0.49,18.9,83, Guinea-Bissau,0.425,0.544,0.031,Africa
84,GUY,Guyana,826,0.0001022,94.9,0.49,25.6,84, Guyana,0.237,0.685,0.079,Africa
85,HTI,Haiti,11637,0.0014387,98.1,0.5,23.5,85, Haiti,0.297,0.658,0.046,North America
86,HND,Honduras,10645,0.001316,101.4,0.5,23.5,86, Honduras,0.279,0.662,0.059,North America
87,HKG,Hong Kong SAR,7443,0.0009201,82.1,0.45,46.2,87, Hong Kong,0.13,0.66,0.209,Asia
88,HUN,Hungary,9686,0.0011975,92.3,0.48,43.3,88, Hungary,0.142,0.64,0.218,Europe
89,ISL,Iceland,388,0.0000479,104.9,0.51,35.8,89, Iceland,0.2,0.634,0.166,Europe
90,IND,India,1438070,0.1777831,106.6,0.52,28.1,90, India,0.245,0.687,0.068,Asia
91,IDN,Indonesia,281190,0.0347625,100.9,0.5,29.8,91, Indonesia,0.246,0.677,0.077,Asia
92,IRN,Iran (Islamic Republic of),90609,0.0112016,103.4,0.51,32.9,92, Iran,0.235,0.698,0.067,Asia
93,IRQ,Iraq,45074,0.0055723,100.7,0.5,20.3,93, Iraq,0.352,0.612,0.036,Asia
94,IRL,Ireland,5197,0.0006424,98,0.5,38.4,94, Ireland,0.204,0.65,0.146,Europe
95,IMN,Isle of Man,84,0.0000104,98.1,0.5,45.7,95, Isle of Man,0.162,0.621,0.218,Europe
96,ISR,Israel,9256,0.0011443,99.1,0.5,29.2,96, Israel,0.255,0.617,0.129,Asia
97,ITA,Italy,59499,0.0073557,95.5,0.49,47.5,97, Italy,0.121,0.646,0.233,Europe
98,CIV,Ivory Coast,31166,0.0038529,103.8,0.51,18.1,98, Ivory Coast,0.367,0.604,0.03,Africa
99,JAM,Jamaica,2840,0.0003511,97.9,0.49,31.7,99, Jamaica,0.241,0.658,0.101,North America
100,JPN,Japan,124371,0.0153755,95.3,0.49,49,100, Japan,0.123,0.585,0.292,Asia
101,JEY,Jersey,104,0.0000128,97.5,0.49,43.1,101, Jersey,0.169,0.652,0.179,Europe
102,JOR,Jordan,11439,0.0014142,106.6,0.52,24.3,102, Jordan,0.314,0.645,0.041,Asia
103,KAZ,Kazakhstan,20330,0.0025133,94.9,0.49,29.5,103, Kazakhstan,0.253,0.653,0.094,Asia
104,KEN,Kenya,55339,0.0068414,98.9,0.5,19.5,104, Kenya,0.365,0.603,0.033,Africa
105,KIR,Kiribati,133,0.0000164,94,0.48,22.7,105, Kiribati,0.271,0.678,0.052,Oceania
106,UNK,Kosovo (under UNSC res. 1244),1700,0.0002102,96.8,0.49,31.4,106, Kosovo,0.231,0.688,0.082,Europe
107,KWT,Kuwait,4839,0.0005982,157.4,0.61,34.5,107, Kuwait,0.233,0.733,0.034,Asia
108,KGZ,Kyrgyzstan,7074,0.0008745,97.8,0.49,25.1,108, Kyrgyzstan,0.295,0.639,0.066,Asia
109,LAO,Lao People's Democratic Republic,7665,0.0009476,101,0.5,24.3,109, Laos,0.306,0.647,0.047,Asia
110,LVA,Latvia,1882,0.0002327,86.3,0.46,43.1,110, Latvia,0.149,0.634,0.217,Europe
111,LBN,Lebanon,5773,0.0007138,94.6,0.49,28.3,111, Lebanon,0.192,0.717,0.091,Asia
112,LSO,Lesotho,2311,0.0002858,94.9,0.49,21.4,112, Lesotho,0.324,0.622,0.054,Africa
113,LBR,Liberia,5493,0.0006791,99.6,0.5,18.4,113, Liberia,0.427,0.545,0.028,Africa
114,LBY,Libya,7306,0.0009032,103.4,0.51,27.2,114, Libya,0.328,0.628,0.044,Africa
115,LIE,Liechtenstein,40,0.0000049,98.7,0.5,44.2,115, Liechtenstein,0.153,0.644,0.204,Europe
116,LTU,Lithuania,2854,0.0003528,89.2,0.47,42.1,116, Lithuania,0.153,0.631,0.216,Europe
117,LUX,Luxembourg,665,0.0000822,101.3,0.5,38.9,117, Luxembourg,0.167,0.674,0.159,Europe
118,MAC,Macao SAR,714,0.0000883,85.6,0.46,38.3,118, Macau,0.144,0.707,0.149,Asia
119,MDG,Madagascar,31196,0.0038566,100.6,0.5,18.9,119, Madagascar,0.375,0.587,0.038,Africa
120,MWI,Malawi,21104,0.0026091,95.2,0.49,17.6,120, Malawi,0.385,0.576,0.038,Africa
121,MYS,Malaysia,35126,0.0043425,110.1,0.52,30.1,121, Malaysia,0.225,0.694,0.081,Asia
122,MDV,Maldives,526,0.000065,163.8,0.62,31.1,122, Maldives,0.223,0.72,0.058,Asia
123,MLI,Mali,23769,0.0029385,101.9,0.5,15.5,123, Mali,0.471,0.499,0.031,Africa
124,MLT,Malta,533,0.0000659,107.9,0.52,40.3,124, Malta,0.145,0.628,0.227,Europe
125,MHL,Marshall Islands,39,0.0000048,105.2,0.51,20.7,125, Marshall Islands,0.307,0.638,0.055,Oceania
126,MRT,Mauritania,5022,0.0006209,96.2,0.49,17.1,126, Mauritania,0.361,0.596,0.043,Africa
127,MUS,Mauritius,1274,0.0001574,99.9,0.5,36.9,127, Mauritius,0.153,0.714,0.134,Africa
128,MEX,Mexico,129740,0.0160392,94.2,0.49,28.9,128, Mexico,0.238,0.682,0.08,North America
129,FSM,Micronesia (Fed. States of),113,0.0000139,98.8,0.5,22.9,129," Micronesia, Federated States of ",0.274,0.671,0.055,Oceania
130,MDA,Moldova,3067,0.0003792,85.3,0.46,37.8,130, Moldova,0.18,0.664,0.156,Europe
131,MCO,Monaco,39,0.0000048,95.9,0.49,54.4,131, Monaco,0.094,0.544,0.362,Europe
132,MNG,Mongolia,3432,0.0004243,99.6,0.5,26.8,132, Mongolia,0.262,0.682,0.056,Asia
133,MNE,Montenegro,634,0.0000783,92.8,0.48,39.3,133, Montenegro,0.179,0.647,0.174,Europe
134,MSR,Montserrat,4,0.0000005,99.7,0.5,41.5,134, Montserrat,0.159,0.766,0.075,North America
135,MAR,Morocco,37713,0.0046623,101.8,0.5,29.2,135, Morocco,0.26,0.659,0.081,Africa
136,MOZ,Mozambique,33635,0.0041582,94.1,0.48,16.3,136, Mozambique,0.45,0.521,0.029,Africa
